Rumor,Map Type,Mods,Rating
,,,
Fallen Stars,Moor,Runestones,S+
Cold as ice,Frigid Bluffs,Old Expedition,A+
Nothing to drink,Stagnant Basin,Oil,A
Endless Cliffs,Craggy Peninsula,Rarity/Rogue Exiles,A
Sulphite!,Scorched Cay,Increased Rarity,A
Unknown Ruins,Exhumed Ruins,Precursor Leylines,B
Something Fishy,Bleached Shoals,Gold,B
Warm but risky,Lush Island,Exp/Beyond/Hoards,B
Bleak and Awful,Barren Atoll,Strongbox,B
It's Dry At Least,Sloughed Gully,Monster effectivenss,D
"Wild,.Roaming Free",Grazed Praire,Azmeri Spirits,D
,,,
Unique Maps,,,
Reflective Waters,Lake of Kalandra,Ring Bases,A
All that Glitters,Castaway,Gold,A
Almost paradise,Untainted paradise,Exp,C
A good fellow,Moment of Zen,Seer,C
,,,
Bosses,,,
Origin of the Fall,Obscure Island,Olroth,A
Stardrinker,Secluded Temple,Uhtred,A
Last To Fall,Mournful Cliffside,Vorana,B
End of the Circle,Sprawling Jungle,Medved,B
,,,
,,,
Sagas,,,
Aldurs,,Buffs expeditions,S+(is a gamble)
Olroth,Obscure Island,Boss Node,A
Uhtred,Secluded Temple,Boss Node,B+
Medhed,Strange Jungle,Boss Node,B+
Vorana,Mournful Cliffside,Boss Node,B+
